ds,y
2021-12-01 1:00,20
2021-12-01 2:00,8
2021-12-01 3:00,3
2021-12-01 4:00,1
2021-12-01 5:00,0
2021-12-01 6:00,0
2021-12-01 7:00,0
2021-12-01 8:00,15
2021-12-01 9:00,7
2021-12-01 10:00,8
2021-12-01 11:00,11
2021-12-01 12:00,15
2021-12-01 13:00,21
2021-12-01 14:00,22
2021-12-01 15:00,18
2021-12-01 16:00,31
2021-12-01 17:00,25
2021-12-01 18:00,17
2021-12-01 19:00,18
2021-12-01 20:00,20
2021-12-01 21:00,26
2021-12-01 22:00,19
2021-12-01 23:00,18
2021-12-02 0:00,16
2021-12-02 1:00,17
2021-12-02 2:00,8
2021-12-02 3:00,2
2021-12-02 4:00,3
2021-12-02 5:00,0
2021-12-02 6:00,1
2021-12-02 7:00,0
2021-12-02 8:00,13
2021-12-02 9:00,10
2021-12-02 10:00,9
2021-12-02 11:00,9
2021-12-02 12:00,18
2021-12-02 13:00,23
2021-12-02 14:00,30
2021-12-02 15:00,25
2021-12-02 16:00,31
2021-12-02 17:00,25
2021-12-02 18:00,17
2021-12-02 19:00,17
2021-12-02 20:00,19
2021-12-02 21:00,26
2021-12-02 22:00,21
2021-12-02 23:00,13
2021-12-03 0:00,15
2021-12-03 1:00,19
2021-12-03 2:00,8
2021-12-03 3:00,0
2021-12-03 4:00,1
2021-12-03 5:00,0
2021-12-03 6:00,0
2021-12-03 7:00,1
2021-12-03 8:00,10
2021-12-03 9:00,9
2021-12-03 10:00,15
2021-12-03 11:00,14
2021-12-03 12:00,15
2021-12-03 13:00,16
2021-12-03 14:00,22
2021-12-03 15:00,15
2021-12-03 16:00,33
2021-12-03 17:00,32
2021-12-03 18:00,28
2021-12-03 19:00,19
2021-12-03 20:00,15
2021-12-03 21:00,20
2021-12-03 22:00,10
2021-12-03 23:00,16
2021-12-04 0:00,9
